Year,Sex,PCL,FL,TL,TLcm,TLbin,Weight,Frequency,Source,Gear,LAT,LONG,FMP
2000,2,1510.791846,1670,1730.0021,173.00021,170,43.9,1,RACE_TWL,Bottom Trawl,58.52142,-176.0954,BS
2000,1,1510.791846,1670,1730.0021,173.00021,170,55.38586214,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,1,1510.791846,1670,1730.0021,173.00021,170,55.38586214,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,3,1519.871345,1680,1740.3291,174.03291,170,56.38198384,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,1,1528.950843,1690,1750.6561,175.06561,170,57.38996813,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1528.950843,1690,1750.6561,175.06561,170,57.38996813,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1528.950843,1690,1750.6561,175.06561,170,57.38996813,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1537.166,,1760,176,170,46.1,1,RACE_TWL,Bottom Trawl,57.26667,-172.70467,BS
2000,1,1538.030342,1700,1760.9831,176.09831,170,58.40988506,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1538.030342,1700,1760.9831,176.09831,170,58.40988506,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1538.030342,1700,1760.9831,176.09831,170,58.40988506,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1547.10984,1710,1771.3101,177.13101,170,53,1,RACE_TWL,Bottom Trawl,57.74559,-173.9026,BS
2000,1,1556.189338,1720,1781.6371,178.16371,170,60.48579699,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1565.268837,1730,1791.9641,179.19641,170,61.54193207,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1565.268837,1730,1791.9641,179.19641,170,61.54193207,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1574.348335,1740,1802.2911,180.22911,180,54,1,RACE_TWL,Bottom Trawl,58.52142,-176.0954,BS
2000,2,1574.348335,1740,1802.2911,180.22911,180,62.61027993,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1574.348335,1740,1802.2911,180.22911,180,62.61027993,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1583.427834,1750,1812.6181,181.26181,180,63.69091062,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1583.427834,1750,1812.6181,181.26181,180,63.69091062,2,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1592.507332,1760,1822.9451,182.29451,180,64.78389414,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,1,1592.507332,1760,1822.9451,182.29451,180,64.78389414,2,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,2,1601.58683,1770,1833.2721,183.32721,180,65.88930055,1,RACE_TWL,Bottom Trawl,58.54727,-174.60451,BS
2000,2,1610.666329,1780,1843.5991,184.35991,180,67.00719985,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
2000,3,1610.666329,1780,1843.5991,184.35991,180,67.00719985,1,RACE_TWL,Bottom Trawl,56.06556,-168.795,BS
2000,2,1610.666329,1780,1843.5991,184.35991,180,67.00719985,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,1,1610.666329,1780,1843.5991,184.35991,180,67.00719985,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1619.745827,1790,1853.9261,185.39261,180,68.13766207,1,RACE_TWL,Bottom Trawl,58.524,-174.65511,BS
2000,2,1628.825326,1800,1864.2531,186.42531,180,68,1,RACE_TWL,Bottom Trawl,59.69978,-178.53059,BS
2000,1,1637.904824,1810,1874.5801,187.45801,180,70.43655538,1,RACE_TWL,Bottom Trawl,58.52817,-174.66209,BS
