species,area_combo,year,area,n_stations,n_pos_catch,area_cpue,boot_area_cpue,boot_bias,boot_sd,boot_lci,boot_uci
Sleeper shark,FMP (with Inside waters),2014,BSAI,274,16,6.076542654192272e-4,6.105487315430706e-4,2.894466123843438e-6,1.642533682903053e-4,3.454065449853441e-4,0.0010261966510665007
Sleeper shark,FMP (with Inside waters),2014,CAN,168,3,2.561628512633098e-5,2.5189192991177166e-5,-4.270921351538132e-7,1.4088589115919768e-5,8.53134250695512e-6,6.829501174937714e-5
Sleeper shark,FMP (with Inside waters),2014,GOA,764,60,0.0012080561423332276,0.0012104769311042953,2.420788771067715e-6,1.925500361248583e-4,8.959221063089369e-4,0.001662078345371602
Sleeper shark,FMP (with Inside waters),2014,WC,170,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2015,BSAI,218,10,4.466072022655769e-4,4.5261873071616884e-4,6.011528450591927e-6,1.532034783781196e-4,2.0666682494073605e-4,8.60184728103889e-4
Sleeper shark,FMP (with Inside waters),2015,CAN,168,4,5.109687968388064e-5,5.088244462197514e-5,-2.1443506190549605e-7,2.892432309257582e-5,8.561965110940142e-6,1.5232140724550877e-4
Sleeper shark,FMP (with Inside waters),2015,GOA,747,54,0.0012501091475229666,0.0012650855602244107,1.4976412701444078e-5,3.120935562553642e-4,8.066437159724114e-4,0.002189348895269001
Sleeper shark,FMP (with Inside waters),2015,WC,104,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2016,BSAI,290,17,5.408171085449173e-4,5.386187287706844e-4,-2.198379774232917e-6,1.3203366809705453e-4,3.174060711718297e-4,8.626365273596867e-4
Sleeper shark,FMP (with Inside waters),2016,CAN,169,4,4.865943263101552e-5,4.937055993441384e-5,7.111273033983193e-7,2.6094391243298516e-5,9.873981610318132e-6,1.3346818403566318e-4
Sleeper shark,FMP (with Inside waters),2016,GOA,761,54,0.0012154071527312545,0.0012108218996436599,-4.585253087594594e-6,1.981729552170668e-4,8.639766926603964e-4,0.0016587087924580157
Sleeper shark,FMP (with Inside waters),2016,WC,103,0,0,0,0,0,0,0
Sleeper shark,FMP (with Inside waters),2017,BSAI,324,19,0.0010055016035702233,9.978984340532468e-4,-7.603169516976534e-6,2.667543486085946e-4,5.819943484111534e-4,0.0017648666196110761
Sleeper shark,FMP (with Inside waters),2017,CAN,168,3,3.601868649455337e-5,3.650621982543053e-5,4.875333308771598e-7,2.0632209667000736e-5,1.1971993413418925e-5,1.0711066974382998e-4
Sleeper shark,FMP (with Inside waters),2017,GOA,764,69,0.0012904080329774975,0.001288108668701311,-2.2993642761865666e-6,2.0468114206251734e-4,9.473519004460637e-4,0.0017978389302285922
Sleeper shark,FMP (with Inside waters),2017,WC,186,1,4.55195767449654e-5,4.4301310964099646e-5,-1.2182657808657547e-6,4.4876797373647547e-5,0,2.2770671609515856e-4
Sleeper shark,FMP (with Inside waters),2018,BSAI,223,8,3.0834641471434276e-4,3.081810015287635e-4,-1.654131855792799e-7,1.1450577981897682e-4,1.2410975162142928e-4,6.338967100750499e-4
Sleeper shark,FMP (with Inside waters),2018,CAN,301,15,1.096014961080747e-4,1.0988314480784477e-4,2.8164869977006786e-7,3.308553110756878e-5,6.195261387965317e-5,2.1413630310939213e-4
Sleeper shark,FMP (with Inside waters),2018,GOA,782,42,5.915291623958676e-4,5.880204869918665e-4,-3.508675404001113e-6,1.1481759312734458e-4,4.0111050203428316e-4,8.876174628363693e-4
Sleeper shark,FMP (with Inside waters),2018,WC,116,1,5.7051240539397306e-5,5.90952925294442e-5,2.0440519900468936e-6,6.029624369855624e-5,0,3.900250473875176e-4
Sleeper shark,FMP (with Inside waters),2019,BSAI,221,12,4.0303158268118914e-4,4.064716306058054e-4,3.440047924616269e-6,1.1530915267689176e-4,2.163639943664889e-4,6.833402881930858e-4
Sleeper shark,FMP (with Inside waters),2019,CAN,164,4,4.358779890333098e-5,4.314764638396518e-5,-4.4015251936580543e-7,2.2655013036079143e-5,1.7422032043913747e-5,1.2201781340536655e-4
Sleeper shark,FMP (with Inside waters),2019,GOA,874,59,9.125463134432208e-4,9.089278614255755e-4,-3.6184520176452562e-6,1.513765360140374e-4,6.591288898596036e-4,0.0012921626609513372
Sleeper shark,FMP (with Inside waters),2019,WC,104,0,0,0,0,0,0,0
