species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Sleeper shark,2009,CGOA,CG300500,8,0,0,0,0,0,0,0,713.4093753145272,435.46270882568865,1280.0691278758118
Sleeper shark,2009,EY/SE,EY/SE0,14,0,0,0,0,0,0,0,7.741970320520001,1.1703689331687426,21.514068248859893
Sleeper shark,2009,EY/SE,EY/SE100,68,4,4.636815905595175,4.62997937724529,-0.006836528349885462,2.2449833817932032,1.1703689331687426,10.4913928664565,7.741970320520001,1.1703689331687426,21.514068248859893
Sleeper shark,2009,EY/SE,EY/SE200,23,2,3.148453797562963,3.1119909432747113,-0.03646285428825191,2.1460240695167436,0,11.022675382403394,7.741970320520001,1.1703689331687426,21.514068248859893
Sleeper shark,2009,EY/SE,EY/SE300500,10,0,0,0,0,0,0,0,7.741970320520001,1.1703689331687426,21.514068248859893
Sleeper shark,2009,WGOA,WG0,59,6,45.446314069482995,46.31323247731541,0.866918407832415,19.252031479248156,15.195179795504913,100.66591767452083,62.65499115719457,23.275726649963886,132.17179802248046
Sleeper shark,2009,WGOA,WG100,52,7,16.442638086259915,16.341758679879163,-0.1008794063807521,5.828682214316701,8.080546854458975,31.505880347959625,62.65499115719457,23.275726649963886,132.17179802248046
Sleeper shark,2009,WGOA,WG200,5,0,0,0,0,0,0,0,62.65499115719457,23.275726649963886,132.17179802248046
Sleeper shark,2009,WGOA,WG300500,5,0,0,0,0,0,0,0,62.65499115719457,23.275726649963886,132.17179802248046
Sleeper shark,2009,WY,WY0,16,1,7.518467876950014,7.471264841265029,-0.047203035684985295,7.213936681170614,0,38.31488993754082,25.682925624369563,0,108.96286709568028
Sleeper shark,2009,WY,WY100,36,2,17.71383386340322,18.211660783104534,0.4978269197013141,13.272950409277712,0,70.64797715813945,25.682925624369563,0,108.96286709568028
Sleeper shark,2009,WY,WY200,10,0,0,0,0,0,0,0,25.682925624369563,0,108.96286709568028
Sleeper shark,2009,WY,WY300500,3,0,0,0,0,0,0,0,25.682925624369563,0,108.96286709568028
Sleeper shark,2010,AI,AI0,25,2,13.24494389232076,12.81014469831785,-0.4347991940029097,9.455086475389896,0,52.750897609698406,15.705406955414869,0,67.34175399837508
Sleeper shark,2010,AI,AI100,39,1,2.9050134006022663,2.895262257097018,-0.009751143505248194,2.9353403694711684,0,14.590856388676679,15.705406955414869,0,67.34175399837508
Sleeper shark,2010,AI,AI200,13,0,0,0,0,0,0,0,15.705406955414869,0,67.34175399837508
Sleeper shark,2010,AI,AI300500,12,0,0,0,0,0,0,0,15.705406955414869,0,67.34175399837508
Sleeper shark,2010,BS,BS0,30,1,138.73206763571642,139.39212727098,0.6600596352635932,140.78071321824905,0,832.8900856128806,654.6054252688735,254.81465106913387,1836.7907869823352
Sleeper shark,2010,BS,BS100,59,11,464.65412016463046,465.5885050511364,0.9343848865059385,133.67294053240903,247.97060313051662,805.9397697649048,654.6054252688735,254.81465106913387,1836.7907869823352
Sleeper shark,2010,BS,BS200400,32,5,25.056103944812723,25.285426231577524,0.22932228676480193,14.483603224396465,6.8440479386172495,81.43904133839993,654.6054252688735,254.81465106913387,1836.7907869823352
Sleeper shark,2010,BS,BS400600,7,1,24.402118374397674,24.33936671517963,-0.06275165921804415,22.557503014574383,0,116.52189026615001,654.6054252688735,254.81465106913387,1836.7907869823352
Sleeper shark,2010,CGOA,CG0,121,4,40.5875386934633,40.1011334594561,-0.4864052340072007,21.536785965021643,13.46895964760383,106.98612085262349,368.2620388330838,201.217774226855,719.7798873954396
Sleeper shark,2010,CGOA,CG100,183,23,261.2919536423662,259.390294962109,-1.901658680257185,76.35850627613652,151.23654386225235,482.54012476288176,368.2620388330838,201.217774226855,719.7798873954396
Sleeper shark,2010,CGOA,CG200,72,13,69.3695686319201,68.7706104115187,-0.5989582204013999,21.667129939027358,36.51227071699882,130.25364177993433,368.2620388330838,201.217774226855,719.7798873954396
Sleeper shark,2010,CGOA,CG300500,7,0,0,0,0,0,0,0,368.2620388330838,201.217774226855,719.7798873954396
Sleeper shark,2010,EY/SE,EY/SE0,15,0,0,0,0,0,0,0,1.581489795117256,0,7.764666875091451
Sleeper shark,2010,EY/SE,EY/SE100,73,0,0,0,0,0,0,0,1.581489795117256,0,7.764666875091451
Sleeper shark,2010,EY/SE,EY/SE200,21,1,1.5401140910836946,1.581489795117256,0.04137570403356139,1.4630121971691226,0,7.764666875091451,1.581489795117256,0,7.764666875091451
Sleeper shark,2010,EY/SE,EY/SE300500,10,0,0,0,0,0,0,0,1.581489795117256,0,7.764666875091451
Sleeper shark,2010,WGOA,WG0,57,4,46.091125009787596,45.47750874721313,-0.6136162625744674,26.544812066868666,9.255583649877257,153.84503411111803,48.91928977392554,9.255583649877257,171.5077304580737
Sleeper shark,2010,WGOA,WG100,52,1,3.5356546733245318,3.44178102671241,-0.09387364661212194,3.4530396182335394,0,17.662696346955673,48.91928977392554,9.255583649877257,171.5077304580737
Sleeper shark,2010,WGOA,WG200,7,0,0,0,0,0,0,0,48.91928977392554,9.255583649877257,171.5077304580737
Sleeper shark,2010,WGOA,WG300500,4,0,0,0,0,0,0,0,48.91928977392554,9.255583649877257,171.5077304580737
Sleeper shark,2010,WY,WY0,19,1,5.532385424068749,5.470966842644403,-0.06141858142434575,5.502006942757081,0,27.627066931092347,18.874316735683944,0,79.89878285816697
Sleeper shark,2010,WY,WY100,36,2,10.264693359045259,10.141885195925237,-0.12280816312002152,7.264306364827398,0,35.941223560111396,18.874316735683944,0,79.89878285816697
Sleeper shark,2010,WY,WY200,10,1,3.282324534317815,3.2614646971143033,-0.02085983720351159,3.0339647473493407,0,16.330492366963227,18.874316735683944,0,79.89878285816697
Sleeper shark,2010,WY,WY300500,2,0,0,0,0,0,0,0,18.874316735683944,0,79.89878285816697
Sleeper shark,2011,AI,AI0,26,1,5.635773061886837,5.5398078496533865,-0.09596521223345089,5.380241926392476,0,33.73323118553759,5.5398078496533865,0,33.73323118553759
Sleeper shark,2011,AI,AI100,36,0,0,0,0,0,0,0,5.5398078496533865,0,33.73323118553759
Sleeper shark,2011,AI,AI200,13,0,0,0,0,0,0,0,5.5398078496533865,0,33.73323118553759
Sleeper shark,2011,AI,AI300500,13,0,0,0,0,0,0,0,5.5398078496533865,0,33.73323118553759
Sleeper shark,2011,BS,BS0,31,1,90.34112666806895,91.89252242572485,1.5513957576558965,89.18224936239187,0,452.2097115618097,445.2229304336448,168.27056497337023,1110.7123119659116
Sleeper shark,2011,BS,BS100,58,8,337.5126423893877,338.0710922588685,0.5584498694807962,106.33593339857079,168.27056497337023,591.8437913304601,445.2229304336448,168.27056497337023,1110.7123119659116
Sleeper shark,2011,BS,BS200400,33,1,2.9229757898250024,3.047381422714951,0.12440563288994877,2.9505467379658463,0,15.792948618893616,445.2229304336448,168.27056497337023,1110.7123119659116
Sleeper shark,2011,BS,BS400600,6,1,12.723023738831042,12.211934326336564,-0.5110894124944778,11.281307158315085,0,50.8658604547481,445.2229304336448,168.27056497337023,1110.7123119659116
Sleeper shark,2011,CGOA,CG0,114,4,37.72908538155154,36.86807235197215,-0.8610130295793894,25.20016865309267,9.445564838168368,174.79880780956313,334.995237243487,159.0909638494578,755.3179027378402
Sleeper shark,2011,CGOA,CG100,184,13,125.44472289104263,126.60059118123708,1.155868290194448,44.5241664094996,58.45357973284635,247.79412835443566,334.995237243487,159.0909638494578,755.3179027378402
Sleeper shark,2011,CGOA,CG200,77,20,167.13501899007628,166.7597753157042,-0.3752436743720864,51.587625867689766,91.19181927844309,311.43902718646456,334.995237243487,159.0909638494578,755.3179027378402
Sleeper shark,2011,CGOA,CG300500,8,1,4.779497385302648,4.766798394573554,-0.012698990729093751,4.556856236004604,0,21.28593938737682,334.995237243487,159.0909638494578,755.3179027378402
Sleeper shark,2011,EY/SE,EY/SE0,17,0,0,0,0,0,0,0,2.3772420567453594,0,13.87343171129835
Sleeper shark,2011,EY/SE,EY/SE100,71,0,0,0,0,0,0,0,2.3772420567453594,0,13.87343171129835
Sleeper shark,2011,EY/SE,EY/SE200,18,1,2.339698548880552,2.3772420567453594,0.037543507864807424,2.310808676240319,0,13.87343171129835,2.3772420567453594,0,13.87343171129835
Sleeper shark,2011,EY/SE,EY/SE300500,8,0,0,0,0,0,0,0,2.3772420567453594,0,13.87343171129835
Sleeper shark,2011,WGOA,WG0,62,0,0,0,0,0,0,0,4.931433808184456,0,14.286957335474078
Sleeper shark,2011,WGOA,WG100,52,2,4.757785794285276,4.931433808184456,0.1736480138991805,3.2538731538149888,0,14.286957335474078,4.931433808184456,0,14.286957335474078
Sleeper shark,2011,WGOA,WG200,6,0,0,0,0,0,0,0,4.931433808184456,0,14.286957335474078
Sleeper shark,2011,WGOA,WG300500,5,0,0,0,0,0,0,0,4.931433808184456,0,14.286957335474078
Sleeper shark,2011,WY,WY0,19,0,0,0,0,0,0,0,50.86390941390584,6.618701483520866,206.3004640155829
Sleeper shark,2011,WY,WY100,37,3,39.92953320747558,39.94321310590511,0.013679898429529658,27.490000237034426,6.618701483520866,146.59279746671302,50.86390941390584,6.618701483520866,206.3004640155829
Sleeper shark,2011,WY,WY200,12,1,10.838574423480084,10.920696308000728,0.08212188452064417,10.775080943642411,0,59.707666548869874,50.86390941390584,6.618701483520866,206.3004640155829
Sleeper shark,2011,WY,WY300500,3,0,0,0,0,0,0,0,50.86390941390584,6.618701483520866,206.3004640155829
Sleeper shark,2012,AI,AI0,27,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2012,AI,AI100,41,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2012,AI,AI200,14,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2012,AI,AI300500,12,0,0,0,0,0,0,0,0,0,0
Sleeper shark,2012,BS,BS0,30,0,0,0,0,0,0,0,277.6341803756646,74.18259807975126,919.4128078649046
Sleeper shark,2012,BS,BS100,57,3,259.6713160761897,250.93536381116252,-8.735952265027208,153.36028887098269,65.18131904988326,842.5813077734103,277.6341803756646,74.18259807975126,919.4128078649046
Sleeper shark,2012,BS,BS200400,32,4,27.122809762547515,26.698816564502085,-0.4239931980454301,14.635935163107076,9.001279029868003,76.8315000914942,277.6341803756646,74.18259807975126,919.4128078649046
Sleeper shark,2012,BS,BS400600,8,0,0,0,0,0,0,0,277.6341803756646,74.18259807975126,919.4128078649046
Sleeper shark,2012,CGOA,CG0,113,4,43.187025602497066,43.10341211937876,-0.08361348311830596,24.337344205417125,14.419268666795881,140.01203330185942,310.29115622917504,169.9921680848205,599.9017473860611
Sleeper shark,2012,CGOA,CG100,185,14,133.02640407881307,132.15931423723194,-0.8670898415811337,41.4863171082826,73.17754008766792,243.57447432155186,310.29115622917504,169.9921680848205,599.9017473860611
Sleeper shark,2012,CGOA,CG200,79,18,134.9589862296582,135.02842987256435,0.06944364290615113,32.57558227674472,82.3953593303567,216.31523976264978,310.29115622917504,169.9921680848205,599.9017473860611
Sleeper shark,2012,CGOA,CG300500,10,0,0,0,0,0,0,0,310.29115622917504,169.9921680848205,599.9017473860611
Sleeper shark,2012,EY/SE,EY/SE0,18,0,0,0,0,0,0,0,12.006354372173313,0,45.308337194276746
Sleeper shark,2012,EY/SE,EY/SE100,65,0,0,0,0,0,0,0,12.006354372173313,0,45.308337194276746
