species,year,FMP_sub_area,RPN_strata,n_stations,n_pos_catch,strata_rpn,boot_strata_rpn,boot_bias,boot_sd,boot_lci,boot_uci,fmp_rpn,fmp_lci,fmp_uci
Spiny dogfish,2005,AI,AI100,45,1,2.9112919836297904,2.9080587716510564,-0.003233211978733941,2.8349796193977013,0,14.517340808089914,2.9080587716510564,0,14.517340808089914
Spiny dogfish,2005,AI,AI200,17,0,0,0,0,0,0,0,2.9080587716510564,0,14.517340808089914
Spiny dogfish,2005,AI,AI300500,13,0,0,0,0,0,0,0,2.9080587716510564,0,14.517340808089914
Spiny dogfish,2005,BS,BS0,1,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2005,BS,BS100,58,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2005,BS,BS200400,33,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2005,BS,BS400600,8,0,0,0,0,0,0,0,0,0,0
Spiny dogfish,2005,CGOA,CG0,117,64,1860.5569804067127,1843.1853024579589,-17.371677948753813,506.84205403875217,1172.6366028713287,3334.3863639093006,6660.528392207653,4629.614806296031,10190.508906646448
Spiny dogfish,2005,CGOA,CG100,189,100,4126.927635975772,4129.690360391736,2.7627244159639304,571.1301898563775,3113.4440270942696,5474.479135554351,6660.528392207653,4629.614806296031,10190.508906646448
Spiny dogfish,2005,CGOA,CG200,74,18,697.990856068541,687.6527293579584,-10.338126710582628,237.95094137795908,343.5341763304329,1381.643407182796,6660.528392207653,4629.614806296031,10190.508906646448
Spiny dogfish,2005,CGOA,CG300500,9,0,0,0,0,0,0,0,6660.528392207653,4629.614806296031,10190.508906646448
Spiny dogfish,2005,EY/SE,EY/SE0,17,15,1515.3366043213716,1509.7691828274897,-5.567421493881966,447.2585352785303,747.9351463057775,2537.717311908328,4947.268534811232,3264.8242513375726,6988.7190235079115
Spiny dogfish,2005,EY/SE,EY/SE100,66,60,3093.417945356732,3109.2320520192993,15.814106662567156,387.10036910953625,2335.579834754198,3857.8391209738265,4947.268534811232,3264.8242513375726,6988.7190235079115
Spiny dogfish,2005,EY/SE,EY/SE200,26,21,308.15227166075454,308.3437653154245,0.19149365466995505,87.18551368295164,176.11745122482074,537.8422206942978,4947.268534811232,3264.8242513375726,6988.7190235079115
Spiny dogfish,2005,EY/SE,EY/SE300500,7,4,20.181347150259068,19.92353464901851,-0.2578125012405579,11.190916528787191,5.191819052776274,55.32036993145865,4947.268534811232,3264.8242513375726,6988.7190235079115
Spiny dogfish,2005,WGOA,WG0,60,8,39.61711962955046,39.39526073856813,-0.22185889098232536,12.956457669528179,19.69458254488722,69.24435311676676,52.65009037333387,24.01304652121059,99.78265293672666
Spiny dogfish,2005,WGOA,WG100,49,5,12.994684274233274,13.254829634765738,0.26014536053246395,6.048971844899784,4.31846397632337,30.538299819959896,52.65009037333387,24.01304652121059,99.78265293672666
Spiny dogfish,2005,WGOA,WG200,6,0,0,0,0,0,0,0,52.65009037333387,24.01304652121059,99.78265293672666
Spiny dogfish,2005,WGOA,WG300500,4,0,0,0,0,0,0,0,52.65009037333387,24.01304652121059,99.78265293672666
Spiny dogfish,2005,WY,WY0,19,19,4256.6342032002985,4266.165250497375,9.531047297076839,693.7906601244573,3036.612563880385,5721.702910892117,12039.324833149665,8987.987751943521,15693.949778138744
Spiny dogfish,2005,WY,WY100,41,41,7318.449442851977,7328.300312427213,9.850869575235265,876.1298035149952,5690.383550276587,9226.604604382415,12039.324833149665,8987.987751943521,15693.949778138744
Spiny dogfish,2005,WY,WY200,11,11,405.79890442281953,406.747325956495,0.9484215336754573,106.36615721732625,241.95540590249084,670.5851200070692,12039.324833149665,8987.987751943521,15693.949778138744
Spiny dogfish,2005,WY,WY300500,3,3,38.758166387052206,38.11194426858281,-0.6462221184693959,15.473677026045804,19.036231884057973,75.05714285714285,12039.324833149665,8987.987751943521,15693.949778138744
Spiny dogfish,2006,AI,AI0,22,2,19.944383150689568,19.755327665324067,-0.18905548536550043,14.451328934769986,0,72.65112312523597,49.42360912285518,9.993714609630347,138.58391918939776
Spiny dogfish,2006,AI,AI100,46,6,29.724810029069655,29.66828145753112,-0.056528571538535743,12.430980594125437,9.993714609630347,65.93279606416179,49.42360912285518,9.993714609630347,138.58391918939776
Spiny dogfish,2006,AI,AI200,15,0,0,0,0,0,0,0,49.42360912285518,9.993714609630347,138.58391918939776
Spiny dogfish,2006,AI,AI300500,14,0,0,0,0,0,0,0,49.42360912285518,9.993714609630347,138.58391918939776
Spiny dogfish,2006,BS,BS0,89,0,0,0,0,0,0,0,30.425093916147212,0,189.88489160593375
Spiny dogfish,2006,BS,BS100,83,1,31.384467758738687,30.425093916147212,-0.9593738425914751,30.74662400125796,0,189.88489160593375,30.425093916147212,0,189.88489160593375
Spiny dogfish,2006,BS,BS200400,35,0,0,0,0,0,0,0,30.425093916147212,0,189.88489160593375
Spiny dogfish,2006,BS,BS400600,7,0,0,0,0,0,0,0,30.425093916147212,0,189.88489160593375
Spiny dogfish,2006,CGOA,CG0,118,60,2055.6868251139667,2057.923885481747,2.2370603677804866,396.18483206166184,1412.1746962491416,3008.918203746749,7044.232403994025,5067.75160171974,9749.900430354599
Spiny dogfish,2006,CGOA,CG100,179,104,4357.307925964453,4361.642364164811,4.3344382003579085,577.4982587590413,3329.736243018566,5571.259294645319,7044.232403994025,5067.75160171974,9749.900430354599
Spiny dogfish,2006,CGOA,CG200,76,26,624.7699046395755,624.6661543474673,-0.1037502921082023,198.45909718315627,325.84066245203286,1169.7229319625321,7044.232403994025,5067.75160171974,9749.900430354599
Spiny dogfish,2006,CGOA,CG300500,10,0,0,0,0,0,0,0,7044.232403994025,5067.75160171974,9749.900430354599
Spiny dogfish,2006,EY/SE,EY/SE0,17,13,2410.207919018185,2436.776811635904,26.56889261771903,540.2198482059223,1349.1692546869192,3507.8112813112816,6253.175477381635,4308.384993297215,8358.435995880918
Spiny dogfish,2006,EY/SE,EY/SE100,69,64,3363.824048262209,3360.594054144179,-3.2299941180299356,339.2903758551986,2694.49106664449,3995.305708246227,6253.175477381635,4308.384993297215,8358.435995880918
Spiny dogfish,2006,EY/SE,EY/SE200,21,18,397.3066310093934,394.5286953931236,-2.777935616269815,104.8816224498726,246.7987241695416,712.8940349163597,6253.175477381635,4308.384993297215,8358.435995880918
Spiny dogfish,2006,EY/SE,EY/SE300500,8,5,61.45601676981033,61.275916208428455,-0.18010056138187736,28.865063936753835,17.9259477962645,142.42497140705007,6253.175477381635,4308.384993297215,8358.435995880918
Spiny dogfish,2006,WGOA,WG0,68,8,40.77910863389933,40.51398832169891,-0.2651203122004162,13.736552948776042,20.331374074769073,77.01035543957138,54.40602716798393,22.862929963149888,120.82471765072422
