"Year","Source","FMP","Survey","Volume"
2007,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",34
2008,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",8
2009,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","AFSC_LLn",2
1998,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",42361
1999,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",21705
2000,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",29257
2001,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",34227
2002,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",22028
2003,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",68940
2004,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",48850
2005,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",44082
2006,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",41355
2007,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",34023
2008,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",24655
2009,"Assessment of the sharks in the Gulf of Alaska (Tribuzio et al. 2010)","GOA","IPHC_LLn",29299
1998,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",207
1999,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",152
2000,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",723
2001,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",164
2002,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",169
2003,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",368
2004,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",251
2005,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",237
2006,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",241
2007,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",170
2008,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",208
2009,"Assessment of the sharks in the Bering Sea and Aleutian Islands (Tribuzio et al. 2010)","BSAI","IPHC_LLn",234
2010,"AKRO","BSAI","ADFG_t",0.0082
2011,"AKRO","BSAI","ADFG_t",0.03354
2012,"AKRO","BSAI","ADFG_t",0.11806
2013,"AKRO","BSAI","ADFG_t",0.002
2014,"AKRO","BSAI","ADFG_t",0.0016
2015,"AKRO","BSAI","ADFG_t",0.00364
2016,"AKRO","BSAI","ADFG_t",0
2017,"AKRO","BSAI","ADFG_t",0
2018,"AKRO","BSAI","ADFG_t",0
2019,"AKRO","BSAI","ADFG_t",0
2010,"AKRO","GOA","ADFG_t",9.64722
2011,"AKRO","GOA","ADFG_t",5.66879
2012,"AKRO","GOA","ADFG_t",6.05561
2013,"AKRO","GOA","ADFG_t",5.317169
2014,"AKRO","GOA","ADFG_t",14.694786
2015,"AKRO","GOA","ADFG_t",9.42394
2016,"AKRO","GOA","ADFG_t",4.63865
2017,"AKRO","GOA","ADFG_t",5.96775
2018,"AKRO","GOA","ADFG_t",10.00574
2019,"AKRO","GOA","ADFG_t",7.45826
2010,"AKRO","BSAI","AFSC_LLn",0
2010,"AKRO","GOA","AFSC_LLn",2622
2011,"AKRO","BSAI","AFSC_LLn",5
2011,"AKRO","GOA","AFSC_LLn",2103
2012,"AKRO","BSAI","AFSC_LLn",0
2012,"AKRO","GOA","AFSC_LLn",1835
2013,"AKRO","BSAI","AFSC_LLn",5
2013,"AKRO","GOA","AFSC_LLn",1012
2014,"AKRO","BSAI","AFSC_LLn",1
2014,"AKRO","GOA","AFSC_LLn",2843
2015,"AKRO","BSAI","AFSC_LLn",2
2015,"AKRO","GOA","AFSC_LLn",2386
2016,"AKRO","BSAI","AFSC_LLn",0
2016,"AKRO","GOA","AFSC_LLn",2259
2017,"AKRO","BSAI","AFSC_LLn",2
2017,"AKRO","GOA","AFSC_LLn",3129
2018,"AKRO","BSAI","AFSC_LLn",1
2018,"AKRO","GOA","AFSC_LLn",811
2019,"AKRO","BSAI","AFSC_LLn",5
2019,"AKRO","GOA","AFSC_LLn",2076
2010,"AKRO","BSAI","AFSC_LLt",0
2010,"AKRO","GOA","AFSC_LLt",6.176323
2011,"AKRO","BSAI","AFSC_LLt",0.28914
2011,"AKRO","GOA","AFSC_LLt",4.123328
2012,"AKRO","BSAI","AFSC_LLt",0
2012,"AKRO","GOA","AFSC_LLt",5.295103
2013,"AKRO","BSAI","AFSC_LLt",0.179
2013,"AKRO","GOA","AFSC_LLt",2.564552
2014,"AKRO","BSAI","AFSC_LLt",0.002455
2014,"AKRO","GOA","AFSC_LLt",8.089459
2015,"AKRO","BSAI","AFSC_LLt",0.115656
2015,"AKRO","GOA","AFSC_LLt",5.097666
2016,"AKRO","BSAI","AFSC_LLt",0
2016,"AKRO","GOA","AFSC_LLt",4.862711
2017,"AKRO","BSAI","AFSC_LLt",0.115656
2017,"AKRO","GOA","AFSC_LLt",8.321908
2018,"AKRO","BSAI","AFSC_LLt",0.002341
2018,"AKRO","GOA","AFSC_LLt",2.106744
2019,"AKRO","BSAI","AFSC_LLt",0.28914
2019,"AKRO","GOA","AFSC_LLt",5.243794
2010,"AKRO","BSAI","AFSC_TWLn",28
2010,"AKRO","GOA","AFSC_TWLn",32
2011,"AKRO","BSAI","AFSC_TWLn",1
2011,"AKRO","GOA","AFSC_TWLn",545
2012,"AKRO","BSAI","AFSC_TWLn",27
2012,"AKRO","GOA","AFSC_TWLn",0
2013,"AKRO","BSAI","AFSC_TWLn",0
2013,"AKRO","GOA","AFSC_TWLn",1667
2014,"AKRO","BSAI","AFSC_TWLn",3
2014,"AKRO","GOA","AFSC_TWLn",5
2015,"AKRO","BSAI","AFSC_TWLn",3
2015,"AKRO","GOA","AFSC_TWLn",699
2016,"AKRO","BSAI","AFSC_TWLn",9
2016,"AKRO","GOA","AFSC_TWLn",0
2017,"AKRO","BSAI","AFSC_TWLn",1
2017,"AKRO","GOA","AFSC_TWLn",663
2018,"AKRO","BSAI","AFSC_TWLn",4
2018,"AKRO","GOA","AFSC_TWLn",0
